epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7982,1.60708,2.95667,1.62946,0,0,0,0,1.63977,3.43905,1.75935,0.0704167,0.00328704,0.00328704
2,99.1124,1.54627,2.11262,1.53134,0.68296,0.24604,0.48316,0.29689,1.60311,2.5527,1.6395,0.0403839,0.0065876,0.0065876
3,136.621,1.57271,2.00719,1.53566,0.32982,0.29074,0.2501,0.10011,2.03917,2.80083,2.0554,0.0103181,0.00985516,0.00985516
4,178.592,1.61663,1.94204,1.56291,0.59372,0.41093,0.45618,0.22383,1.94438,2.43165,1.97934,0.0098515,0.0098515,0.0098515
5,220.537,1.61419,1.88699,1.5818,0.70488,0.28323,0.50133,0.27316,1.84477,2.32429,1.95309,0.009802,0.009802,0.009802
6,262.485,1.58643,1.83978,1.56583,0.59848,0.262,0.44118,0.26681,1.86505,2.2116,1.84986,0.0097525,0.0097525,0.0097525
7,302.493,1.58806,1.80037,1.573,0.73654,0.43025,0.5935,0.31087,1.64671,2.01375,1.74714,0.009703,0.009703,0.009703
8,349.8,1.57359,1.73851,1.55196,0.50551,0.57054,0.55878,0.29247,1.67492,2.13115,1.69628,0.0096535,0.0096535,0.0096535
9,403.887,1.54572,1.67588,1.52842,0.61449,0.46743,0.56157,0.29014,1.69852,2.0926,1.68815,0.009604,0.009604,0.009604
10,440.758,1.53801,1.63667,1.52965,0.67237,0.54971,0.6395,0.37152,1.54231,1.5267,1.60687,0.0095545,0.0095545,0.0095545
11,482.964,1.5336,1.61325,1.53609,0.6731,0.51181,0.60994,0.32119,1.60305,1.62433,1.6413,0.009505,0.009505,0.009505
12,536.966,1.52635,1.56744,1.51081,0.72914,0.60922,0.67619,0.36831,1.51467,1.53597,1.53412,0.0094555,0.0094555,0.0094555
13,573.886,1.53669,1.57611,1.52315,0.67352,0.59986,0.67638,0.39989,1.5604,1.72414,1.59314,0.009406,0.009406,0.009406
14,616.263,1.4993,1.52096,1.48528,0.75,0.55934,0.68818,0.41509,1.56725,1.42374,1.56134,0.0093565,0.0093565,0.0093565
15,672.127,1.48574,1.48756,1.48797,0.67549,0.48681,0.60884,0.36155,1.65738,1.6872,1.63431,0.009307,0.009307,0.009307
16,710.297,1.50168,1.51087,1.50101,0.62912,0.58505,0.65937,0.38534,1.514,1.49672,1.5381,0.0092575,0.0092575,0.0092575
17,757.162,1.46378,1.48076,1.47295,0.56238,0.49051,0.56042,0.34143,1.58659,1.65539,1.61045,0.009208,0.009208,0.009208
